com.samsung.health.food_info,6000085,5
total_fat,potassium,default_number_of_serving_unit,description,carbohydrate,deviceuuid,metric_serving_amount,update_time,serving_description,datauuid,protein,cholesterol,polysaturated_fat,dietary_fiber,calcium,vitamin_a,create_time,unit_count_per_calorie,vitamin_c,custom,metric_serving_unit,monosaturated_fat,saturated_fat,sodium,info_provider,pkg_name,provider_food_id,name,calorie,iron,trans_fat,sugar
0.46,233.0,1,"32 kcal, Per 100g",11.67,avnWu77KPA,152,2017-04-10 15:11:33.133,"cup, halves",3c6a8bd8-5e8f-4927-827c-0a92338f0179,1.02,0.0,0.236,3.0,2.0,0.0,2017-04-10 15:11:33.133,3.1020408,149.0,,g,0.065,0.023,2.0,,com.sec.android.app.shealth,default-fatsecret-35976,Strawberries,49.0,4.0,,7.08
1.46,301.0,1,"110 kcal, Per 100g",0.0,avnWu77KPA,118,2017-04-10 15:11:33.135,"breast, bone and skin removed",64cefcc6-f5d2-48ca-b2d8-6d46b42be89a,27.25,68.0,0.33,0.0,1.0,0.0,2017-04-10 15:11:33.135,0.9076923,2.0,,g,0.354,0.389,77.0,,com.sec.android.app.shealth,default-fatsecret-4881229,Skinless Chicken Breast,130.0,5.0,0.024,0.0
4.81,366.0,1,"50 kcal, Per 100g",11.42,avnWu77KPA,244,2017-04-10 15:11:33.139,cup,81f8bdc8-f6af-4a9a-9da4-56810e1b3d4e,8.05,20.0,0.178,0.0,28.0,9.0,2017-04-10 15:11:33.139,2.0,1.0,,g,1.366,3.067,100.0,,com.sec.android.app.shealth,default-fatsecret-800,2% Fat Milk,122.0,0.0,,12.35
0.0,,1,"140 kcal, Per 1 can",39.0,avnWu77KPA,12,2017-04-10 15:11:33.138,serving,8fe63652-8a2c-491d-8b17-2d3b543425ef,0.0,0.0,0.0,0.0,0.0,0.0,2017-04-10 15:11:33.138,,0.0,,oz,0.0,0.0,45.0,,com.sec.android.app.shealth,default-fatsecret-3650710,Coco-Cola Classic (12 oz)(Coca-Cola),140.0,0.0,0.0,39.0
0.23,170.0,1,"30 kcal, Per 100g",11.48,avnWu77KPA,152,2017-04-10 15:11:33.132,"cup, diced",a9f71c19-0963-42fe-b222-81813e30d37f,0.93,0.0,0.076,0.6,1.0,17.0,2017-04-10 15:11:33.132,3.347826,20.0,,g,0.056,0.024,2.0,,com.sec.android.app.shealth,default-fatsecret-35984,Watermelon,46.0,2.0,,9.42
0.0,0.0,1,"0 kcal, Per 100g",0.0,avnWu77KPA,237,2017-04-10 15:11:33.138,cup (8 fl oz),aa84eaae-bf40-4a54-8271-3ced2689a8fb,0.0,0.0,0.0,0.0,0.0,0.0,2017-04-10 15:11:33.138,,0.0,,g,0.0,0.0,5.0,,com.sec.android.app.shealth,default-fatsecret-37922,Water,0.0,0.0,,0.0
6.76,67.0,1,"102 kcal, Per 53g",0.43,avnWu77KPA,46,2017-04-10 15:11:33.134,large,be2d9ec1-6e7a-4696-aa55-430f6d4cfcdf,6.24,210.0,1.214,0.0,3.0,6.0,2017-04-10 15:11:33.134,0.5135135,0.0,,g,2.754,1.88,238.0,,com.sec.android.app.shealth,default-fatsecret-3096,Fried Egg,89.0,5.0,,0.38
1.42,86.0,1,"49 kcal, Per 175g",9.14,avnWu77KPA,177,2017-04-10 15:11:33.136,coffee cup (6 fl oz),ca01f461-4b65-4da9-9fca-24b87849c5a7,0.38,0.0,0.004,0.0,0.0,0.0,2017-04-10 15:11:33.136,3.7,0.0,,g,0.04,1.295,11.0,,com.sec.android.app.shealth,default-fatsecret-2479597,Coffee with Cream and Sugar,50.0,0.0,,8.51
0.39,422.0,1,"89 kcal, Per 100g",26.95,avnWu77KPA,118,2017-04-10 15:11:33.129,medium (7" to 7-7/8" long),e37e3454-ca68-425c-b699-89f655c09247,1.29,0.0,0.086,3.1,1.0,2.0,2017-04-10 15:11:33.129,1.1222222,17.0,,g,0.038,0.132,1.0,,com.sec.android.app.shealth,default-fatsecret-5388,Banana,105.0,2.0,,14.43
0.05,111.0,1,"1 kcal, Per 100g",0.09,avnWu77KPA,237,2017-04-10 15:11:33.137,mug (8 fl oz),e4ce9d42-48b2-4545-9e9d-6c478476fd21,0.28,0.0,0.002,0.0,0.0,0.0,2017-04-10 15:11:33.137,88.5,0.0,,g,0.028,0.005,5.0,,com.sec.android.app.shealth,default-fatsecret-7331,Coffee,2.0,0.0,,0.0
